feature1,feature2,feature3,feature4,feature5,feature6,target1,target2,target3,target4,target5
0.002647106,0.07168999,0.101066408,0.088717133,0.124686083,0.022659597,0.307907163,1.34608084,0.954490403,1.301374664,0.691705461
0.003076818,0.067708298,0.101678972,0.10414349,0.110955574,0.023361829,0.352099168,1.290012528,0.91578683,1.220323776,0.678249147
0.00350653,0.066052844,0.100505601,0.113173835,0.097969828,0.020681864,0.395131857,1.236287975,0.879140638,1.142825004,0.665785131
0.003936243,0.066125529,0.098087608,0.117225686,0.085963954,0.016552174,0.437018018,1.184872332,0.844520447,1.068827219,0.654295602
0.004365955,0.067429718,0.094868861,0.117493945,0.075103744,0.012179294,0.477770443,1.135730754,0.811894875,0.998279298,0.643762749
0.004795667,0.069558191,0.091207613,0.114976449,0.065495316,0.008257822,0.51740192,1.088828391,0.781232541,0.931130113,0.634168761
0.005225379,0.072182098,0.087387363,0.110497423,0.057193925,0.005131997,0.55592524,1.044130399,0.752502063,0.867328539,0.625495826
0.005655092,0.075040844,0.083626773,0.104728983,0.050211994,0.002915731,0.593353193,1.001601928,0.72567206,0.80682345,0.617726134
0.006084804,0.077932863,0.080088727,0.098210776,0.044526388,0.001580082,0.629698568,0.961208134,0.700711152,0.74956372,0.610841873
0.006514516,0.080707218,0.076888548,0.091367873,0.040085009,0.001015494,0.664974156,0.922914167,0.677587957,0.695498222,0.604825232
0.006944228,0.083256002,0.074101449,0.084527011,0.036812716,0.001074751,0.699192747,0.886685182,0.656271093,0.644575832,0.599658399
0.00737394,0.085507456,0.071769247,0.077931288,0.034616635,0.001601431,0.732367131,0.852486331,0.63672918,0.596745422,0.595323564
0.007803653,0.087419799,0.069906395,0.071753404,0.033390893,0.002447645,0.764510097,0.820282767,0.618930836,0.551955868,0.591802915
0.008233365,0.088975696,0.068505372,0.066107537,0.033020798,0.00348406,0.795634435,0.790039644,0.60284468,0.510156043,0.589078641
0.008663077,0.090177335,0.067541468,0.061059949,0.03338653,0.004604519,0.825752936,0.761722113,0.588439331,0.471294821,0.58713293
0.009092789,0.091042071,0.066977016,0.056638399,0.034366344,0.005727019,0.854878389,0.735295329,0.575683408,0.435321077,0.585947972
0.009522502,0.091598593,0.066765102,0.05284045,0.035839346,0.006792388,0.883023585,0.710724443,0.564545529,0.402183683,0.585505956
0.009952214,0.09188359,0.066852784,0.049640752,0.037687854,0.007761615,0.910201313,0.687974609,0.554994313,0.371831515,0.585789069
0.010381926,0.091938854,0.067183871,0.046997363,0.039799392,0.00861254,0.936424364,0.66701098,0.546998379,0.344213447,0.586779501
0.010811638,0.09180882,0.06770129,0.044857195,0.042068329,0.009336369,0.961705526,0.647798709,0.540526346,0.319278352,0.588459441
0.01124135,0.091538476,0.068349061,0.043160649,0.0443972,0.009934324,0.986057591,0.630302948,0.535546832,0.296975105,0.590811076
0.011671063,0.091171639,0.069073933,0.041845498,0.046697745,0.010414615,1.009493348,0.614488851,0.532028456,0.277252579,0.593816597
0.012100775,0.090749544,0.069826698,0.0408501,0.04889167,0.010789837,1.032025588,0.60032157,0.529939838,0.260059649,0.597458192
0.012530487,0.090309734,0.070563212,0.040115973,0.050911169,0.011074803,1.053667099,0.587766259,0.529249595,0.245345189,0.60171805
0.012960199,0.089885218,0.071245156,0.039589823,0.052699237,0.011284833,1.074430672,0.57678807,0.529926347,0.233058072,0.606578359
0.013389912,0.089503867,0.071840556,0.039225052,0.054209773,0.011434441,1.094329098,0.567352156,0.531938712,0.223147173,0.612021308
0.013819624,0.089188022,0.072324093,0.03898281,0.05540752,0.011536391,1.113375165,0.559423671,0.535255309,0.215561366,0.618029086
0.014249336,0.088954304,0.072677225,0.038832647,0.056267845,0.011601059,1.131581664,0.552967767,0.539844757,0.210249526,0.624583881
0.014679048,0.088813586,0.07288814,0.038752798,0.056776382,0.011636058,1.148961385,0.547949597,0.545675675,0.207160525,0.631667883
0.01510876,0.088771115,0.072951563,0.038730154,0.056928562,0.011646076,1.165527118,0.544334314,0.552716681,0.206243238,0.639263281
0.015538473,0.088826765,0.072868439,0.038759959,0.056729041,0.011632899,1.181291653,0.542087071,0.560936395,0.207446539,0.647352262
0.015968185,0.088975394,0.072645508,0.038845274,0.056191037,0.011595568,1.19626778,0.541173021,0.570303434,0.210719303,0.655917016
0.016397897,0.089207303,0.072294792,0.038996243,0.055335611,0.011530668,1.210468288,0.541557316,0.580786419,0.216010403,0.664939732
0.016827609,0.089508757,0.071833006,0.039229196,0.054190877,0.011432718,1.223905968,0.543205111,0.592353967,0.223268713,0.674402598
0.017257322,0.089862576,0.071280914,0.039565622,0.052791183,0.011294642,1.236593609,0.546081557,0.604974697,0.232443107,0.684287803
0.017687034,0.090248767,0.07066264,0.040031044,0.051176255,0.011108329,1.248544002,0.550151808,0.618617228,0.24348246,0.694577536
0.018116746,0.090645185,0.070004954,0.040653823,0.049390322,0.01086525,1.259769937,0.555381017,0.633250179,0.256335645,0.705253986
0.018546458,0.09102822,0.069336534,0.041463915,0.04748124,0.010557128,1.270284203,0.561734336,0.648842169,0.270951537,0.716299341
0.01897617,0.091373487,0.068687225,0.042491605,0.045499608,0.010176662,1.28009959,0.569176918,0.665361816,0.28727901,0.72769579
0.019405883,0.091656507,0.068087305,0.043766251,0.043497906,0.009718257,1.289228889,0.577673917,0.68277774,0.305266937,0.739425522
0.019835595,0.091853393,0.067566761,0.045315038,0.04152964,0.009178773,1.29768489,0.587190485,0.701058558,0.324864193,0.751470726
0.020265307,0.091941493,0.067154592,0.047161782,0.039648527,0.008558253,1.305480381,0.597691775,0.720172891,0.346019651,0.76381359
0.020695019,0.09190002,0.066878138,0.049325778,0.037907701,0.007860592,1.312628154,0.609142941,0.740089355,0.368682187,0.776436304
0.021124732,0.091710638,0.066762451,0.051820733,0.036358966,0.007094144,1.319140998,0.621509134,0.760776572,0.392800673,0.789321055
0.021554444,0.091358007,0.066829708,0.054653772,0.03505209,0.006272199,1.325031704,0.634755509,0.782203158,0.418323984,0.802450033
0.021984156,0.09083028,0.06709867,0.057824546,0.034034149,0.005413319,1.33031306,0.648847218,0.804337733,0.445200994,0.815805427
0.022413868,0.090119549,0.067584206,0.061324437,0.033348924,0.004541476,1.334997858,0.663749413,0.827148916,0.473380577,0.829369425
0.02284358,0.08922223,0.068296856,0.065135889,0.033036356,0.003685968,1.339098887,0.679427249,0.850605325,0.502811608,0.843124217
0.023273293,0.088139392,0.069242476,0.069231847,0.033132058,0.002881065,1.342628936,0.695845877,0.874675579,0.533442959,0.85705199
0.023703005,0.086877022,0.070421931,0.073575328,0.03366689,0.00216536,1.345600797,0.712970451,0.899328297,0.565223506,0.871134933
0.024132717,0.085446226,0.071830862,0.07811912,0.034666594,0.00158079,1.348027259,0.730766124,0.924532098,0.598102122,0.885355237
0.024562429,0.083863365,0.073459516,0.082805616,0.036151498,0.001171314,1.349921111,0.749198048,0.950255601,0.632027681,0.899695088
0.024992142,0.082150121,0.075292642,0.087566774,0.038136282,0.000981214,1.351295144,0.768231377,0.976467424,0.666949058,0.914136676
